title,company,state,location,category,type,pay,description,sourceUrl
Cafe63 Dakabin is looking for all rounder,Cafe63 Dakabin,QLD,Dakabin,hospitality,casual,,"Hello,
We are looking for someone to work at Cafe63 Dakabin for a mix of 2 shifts per week and occasional opening shifts or dinner shift.
This position is perfect for anyone looking for a second job, and applicants who are also available for occasional opening shifts are especially welcome.
Please note that the roster will vary each week.
Requirements:
- Must work 1 opening and 1 closing
- Must have barista / coffee-making experience
- Must be confident working as an all-rounder on your own when another staff member is on break
- Must be confident and capable in a fast-paced environment
- Prefer applicants who live close to Dakabin
Pay is casual loading rate.
Please send your resume to inkukellia@gmail.com
or contact 0405 279 322
Thank you.",
🌟 Join the Miss Bright Cleaning Team! 🌟,Miss Bright Cleaning,QLD,Mount Isa,cleaning,casual,,"Mount Isa QLD
🌟 Join the Miss Bright Cleaning Team! 🌟
We’re looking for a reliable and motivated cleaner to join the team
What we’re looking for:
Ideally your own car but this is not essential
Great attention to detail
Able to work independently and as part of a team
Experience preferred but not essential – we provide full training!
2 x day positions
We also offer Bonuses and incentives!
Happy to talk about flexible work hours
Working holiday visas are welcome to apply!
If you take pride in your work, enjoy making spaces sparkle, and want to join a friendly, supportive team — we’d love to hear from you!
✨ Apply today and become part of the team ✨
📧 Admin@missbrightcleaning.com.au
📞 0439396046",
"Labour wanted, concrete sleeper installing",Employer (see description),QLD,Toowoomba,construction,casual,$33/hr,"🚧 LABOURER WANTED – IMMEDIATE START 🚧
Bunney Can – Retaining Walls
Looking for a reliable labourer to join our crew installing concrete sleeper retaining walls.
💰 $33/hr flat rate (starting)
📈 Pay increases quickly for the right attitude
🚗 Transport available to/from site
📍 Work based around Toowoomba.
⸻
✅ Requirements
• Must hold a White Card
• Physically fit & ready to work
• Shows up on time (non-negotiable)
• Keen to learn and work hard
⸻
🔧 Duties include
• Assisting installation of concrete sleeper retaining walls
• flicking sleeper clamp lever for operator
• Separating sleeper packs
• Running & pinning geofabric
• Installing AGI pipe (drainage)
• Spreading gravel & backfill
• Using hand & power tools
• General labouring
⸻
💯 What we’re looking for
Not after someone with 10 years experience —
👉 I want someone keen, switched on, and willing to learn
👉 If you prove yourself, your pay will go up quickly
⸻
📩 Apply
0477929809
Send me a message with:
• Your age
• Experience (if any)
• Whether you have a White Card
• Why you’d be a good fit",
🥧🍞 WE ARE HIRING! 🚛,🥧🍞 WE,QLD,Brisbane,other,full_time,,"Join our growing team in Brisbane!
We’re looking for:
👉 Pie Factory Packers (Cold Room Work)
👉 Bread Bakers (Min. 1 year experience required)
👉 Night Delivery Driver (Australian Driver Licence required)
🔥 Why join us?
✅ Full-time positions available
✅ Stable, long-term work
✅ Friendly team environment
✅ Staff discounts
✅ Opportunity to grow with a fast-growing bakery group
📦 Pie Packer Requirements:
✔️ Able to work in cold room environment
✔️ Physically fit and reliable
✔️ Comfortable working in fast-paced production
👨‍🍳 Bread Baker Requirements:
✔️ Minimum 1 year experience
✔️ Good understanding of dough, fermentation & baking
✔️ Able to work independently & in a team
🚛 Driver Requirements:
✔️ Valid Australian Driver Licence
✔️ Reliable and punctual
✔️ Comfortable with early morning/night shifts
⏰ Shifts: Early morning & night shifts
📍 Location: Brisbane (multiple sites)
📩 Apply now:
Send your resume to applyworkforce.au@gmail.com
📞 Or message 0423 547 955",
Kitchen Hand — Mikis Open Kitchen,Mikis Open Kitchen,QLD,Margaret River,hospitality,casual,,"Mikis Open Kitchen is hiring a kitchen hand in Margaret River. Duties: dishwashing, basic food prep, cleaning, and supporting the team as needed.
Casual position
Days: Tuesday to Saturday
Hours: late afternoon to night (start 5:00 PM until after service)
Approx. 15-20 hours per week
Award rates apply
To apply: send your resume and a brief note about yourself to mikisopenkitchen@outlook.com",
Poultry farm work,Darwalla,QLD,Warwick,farm,casual,,"Do you care about your work & want to do a good job?
Not afraid of physical work?
Are someone who is reliable ?
Consider work in our poultry farms with a friendly, multi-cultural team
No experience necessary, just physical fitness and a good work ethic
Flexible days of work available
is able to work weekends
Casual rates
Birthday Day off after probation period
About the Role
Darwalla is seeking applications for people who care about their job, to work alongside our experienced teams in our poultry farms, located between Warwick & Toowoomba, on the beautiful Southern Darling Downs.
The successful candidates will be required to carry out a wide range of physical tasks including walking in sheds, egg collecting, egg grading & packing and cleaning sheds. Full training is provided, so no experience is necessary, however a willingness to learn and work hard is essential.
Generally we work across 7 days/week. The number of hours per week may vary .Our farms are located in rural locations between Warwick & Toowoomba, plus out at Killarney & down at Laidley, so a driver's license and access to reliable transport is necessary.
The poultry industry has very strict bio-security and animal welfare standards, so all employees are restricted from keeping pet birds, poultry and pigs and residing with others who work at other poultry or pig farming work sites. Therefore, if you have poultry, birds or pigs kept at your house, I'm sorry but you cannot work for Darwalla. Our farms are all shower-on & shower-off facilities to protect our birds from disease. Our showers are hot and we supply towels, uniforms and all safety equipment.
Skills & Experience
Successful candidates must have the following attributes:
Meet bio-security requirements
Physically fit & hard working
Reliable & self-motivated
Team player
Have a mature & responsible attitude
Good communicator
Able to follow instructions
Car and Licence
Have a tolerance to working in a poultry environment, which can be dusty, noisy and smelly
good understanding of English, both written and oral
About Darwalla
Darwalla has a diverse workforce and welcomes applicants who are as passionate as we are about producing quality chickens. As a fourth-generation family business, Darwalla started producing chickens over 90 years in Mt Cotton, with farms now located in the Redlands, on the Darling Downs and in the Lockyer Valley.
Safety is a priority of ours and we look after our people. You will be provided with a uniform, training & relevant safety equipment.
If you meet the above criteria and you’re interested in this role, we want to hear from you!
APPLY NOW!!
https://darwalla.expr3ss.com/jobDetails?selectJob=95&s=6",https://darwalla.expr3ss.com/jobDetails?selectJob=95&s=6
Storeperson role - Redland Bay,Employer (see description),QLD,Redland,retail,casual,,"We are on the look-out for a capable store person to help with receiving and dispatching Mattress and Bedroom Furniture. This casual role will be ideal for those located in or around Redland Bay. Starting at 9am and finishing at 2pm, this 3 day a week role (Mon,Tue and Fri) will provide you with an opportunity to work autonomously. Full training will be provided, you will be doing some heavy lifting and marking items with accuracy.
What you’ll be doing:
Receiving, marking and putting away stock. Getting stock ready as per delivery dockets for contractors to take and deliver on Tuesday and Friday.
Do stocktake every Friday.
Maintaining the work environment in a professional manner.
About you:
Strong attention to detail
You bring a positive, can-do attitude to every task and enjoy being active.
Detail-focused and organized, you thrive in a structured environment.
You feel comfortable working independently and taking ownership of your responsibilities.
Strong communication skills, both verbal and written, are essential.
Reliable and consistent
Please shoot through an email your resume to capalaba@fortywinks.com.au, and we'll be in touch if shortlisted.",
FARM HAND - IMMEDIATE START,Employer (see description),QLD,Gold Coast,farm,casual,,"IMMEDIATE START - FARMHAND - Looking for someone near the Gold Coast or Brisbane. The farm is about 45 minutes away.
Work includes mowing,
General cleanup and fencing, and helping around the farm. Carpentry experience is a bonus.
Job is for 7 days and may be ongoing for the right person. MUST HAVE THEIR OWN VEHICLE.
Can start TODAY.
CALL/Text 0498027100",
Housekeepers required Suitable for Students/ Working Holiday Visa,Royal Woods Resort,QLD,QLD,hospitality,casual,,"Housekeeping Staff Required -
Royal Woods Resort is looking for housekeeping candidates who are motivated, confident, and driven. Previous experience is a necessary requirement.
Students welcome to apply. please email resume to hr@royalwoods.com.au
Candidates who know what it takes to exceed guest expectations.
We are seeking applications to fill the housekeepers position , someone who's familiar with detailed cleaning.
To be successful in this role at Royal Woods Resort,you will have a high attention to detail and willing to work as part of a team.
We are looking for candidates who have a passion for maintaining high standards and want to add value in an environment that will allow you to flourish.
Ideally you will have experience in a hospitality and the housekeeping environment and take a real sense of pride in your ability to deliver an extremely high standard.
You will have the flexibility to work various shifts including weekends,public holidays
across a 3- 4 day roster – day shift only .
20-22 hours weekly only hence position suitable for students.
Please send your CV and a covering letter to hr@royalwoods.com.au
You must meet the legal requirements to work in this country.
This role is suitable for students and candidates looking for regular
work.
Having own transport would be beneficial
Please send your CV and a covering letter to hr@royalwoods.com.au
No phone calls will be entertained
The application form will include answers to these questions:
•Do you own or have regular access to a car?
•Are you available to work on Monday/ Tuesday & Friday
•How many years' experience do you have in the housekeeping job?",
"Housekeeper Needed – Friendly Family-Owned Motel (Hamilton, Brisbane)",Friendly Family-Owned Motel,QLD,Hamilton,hospitality,part_time,,"We are a friendly family-owned motel located in Hamilton, Brisbane, looking for a reliable and hardworking Housekeeper to join our team.
Position: Casual / Part-time Housekeeper
Location: Hamilton, Brisbane
Start: Immediate start available
Duties include:
• Cleaning guest rooms to motel standard
• Changing bed linens and towels
• Cleaning bathrooms and kitchenettes
• Vacuuming and mopping floors
• Reporting maintenance issues
• Assisting with laundry when required
Requirements:
• Previous housekeeping or cleaning experience preferred
• Attention to detail
• Physically fit and able to work efficiently
• Reliable and punctual
• Must have work rights in Australia
Working hours:
Usually between 8:00am – 2:00pm (weekdays & weekends required)
Pay:
Competitive hourly rate (based on experience)
If you are responsible, positive and take pride in your work, we would love to hear from you.
Please send your resume and availability to:asraportmotel@gmail.com",
"BRISBANE, AUSTRALIA 📍🇦🇺 CrewWorks Australia Pty Ltd.","CrewWorks Australia Pty Ltd.
We",QLD,BRISBANE,hospitality,casual,,"We’re looking for strong, confident and reliable Front of House staff for a range of exciting live events, immersive experiences and exhibitions coming to Brisbane in 2025 ✨
Previous experience in events is highly regarded. We’re looking for bright, bubbly and energetic personalities who thrive in fast-paced team environments.
Job description and applications via the link below:
https://d9a3b025095309.au.deputy.com/jobs#/3ANktvLgKDOi3hZlBY9HXNpdfwq",https://d9a3b025095309.au.deputy.com/jobs#/3ANktvLgKDOi3hZlBY9HXNpdfwq
Assembly - Warehouse person,Hannibal Safari,QLD,Wakerley,retail,part_time,,"Hannibal Safari Equipment – Remote Travel Products - Wakerley
We’re looking for a reliable, hands-on person to join the Hannibal Safari team on a casual basis. This role would suit a uni student or mature age person wanting part-time work or a local with good practical skills looking for some extra income.
About the Role
Part time, 2–5 days per week (minimum 4 hours per shift, flexible as required) The current guys been doing 6 hour shifts the last couple of weeks.
What are you required to do....
Assembly of our roof top tents, awnings and related products
Packaging and dispatch of roof racks and other equipment
General warehouse duties
What We’re Looking For
Someone local (preferred)
Handy with tools, timber, and aluminium
Basic automotive wiring skills (an advantage but not essential)
Practical, reliable, and willing to learn
How to Apply
Send your details to info@hannibalsafari.com.au
or call us on 1300 369 270 to discuss the role.",
🍻 Join the Crew at Koala Tavern 🐨,Join the Crew at Koala Tavern,QLD,QLD,hospitality,casual,,"Love a busy pub vibe, good banter, and working with a great team? We’re looking for casual Bistro & Public Bar staff to jump in with us on weekends!
Public Bar:
* Chatting with customers and keeping the vibe fun
* TAB & Keno service
* Keeping things clean, tidy, and running smoothly
* Working our entertainment nights mix of ticketed gigs and Karaoke
Bistro:
* Greeting guests, seating and allocating reservations
* Taking meal orders and running food
* Engaging with customers to create memorable dining experience
Who we’re after:
* Weekend availability is a must (that’s when the fun happens!)
* Someone friendly, reliable, and up for a laugh
* Can handle a fast-paced shift and stay cool under pressure
* Experience is great, but attitude is everything
* RSA required
* For Public Bar RSG required with TAB & Keno experience preferred
Why you’ll love it here:
* Supportive team that feels like a second family
* Great mix of locals, families, and regulars
* Staff perks + discounts
* A fun, no-fuss work environment where you can be yourself
If you reckon you’d be a good fit, we’d love to meet you! Email your application to vm@koalatavern.com.au",
Cafe staff needed,Employer (see description),QLD,new farm,farm,casual,,"Hi there,
We are looking for someone friendly to join our team, hours are flexible and negotiable.
location: new farm 4005
if you are interested send us your resume and cover letter (optional) to :
nfpnewfarmpark@gmail.com
Thanks",
Hospitality Jobs Available - 2 Staff Needed,Employer (see description),QLD,QLD,hospitality,casual,,"We are currently hiring 2 hospitality team members.
Duties include customer service, food & beverage service, and general duties.
Flexible shifts, great team environment.
we need to hire urgently!!! Monday to Friday and Saturday to Sunday. Flexible work hours, can work weekends.
Flexible:
Working hours: 8am to 2pm.
Working hours: 2pm to 5pm.
Working hours: 5pm to 11pm.
Please send a message with your availability and experience.
For more information please contact to: ovilaalbert4@gmail.com",
metal roofing labourer,our small,QLD,gold coast,construction,casual,,"We are looking for a metal roofing labourer to join our small team, we are a family owned business with work mainly from gold coast to Murwillumbah nsw, a bit of experience is preferred,, car & licence is a must, own hand tools preferred, super & all insurance included, please text 0416154509",
We’re Hiring – Dishwasher,Lake Barrine Teahouse,QLD,QLD,hospitality,casual,,"We’re looking for a motivated, proactive and energetic dishwasher to join our team at Lake Barrine Teahouse.
This is a hands-on role in a fast-paced environment, involving standing for long periods, lifting, and keeping the kitchen running smoothly.
You’ll be working surrounded by rainforest, alongside a great team.
Details:
Immediate start
Must have your own car (no public transport available)
Yungaburra is just 9 minutes away
This role suits someone reliable and ready to work
Please only apply if you are currently based nearby or able to start immediately
Position is for one person only (not suitable for couples)
Please check our location before applying
Apply:
Send your CV to info@lakebarrine.com.au",
💥 WE’RE HIRING – WAREHOUSE POSITION,Mount Isa Pets & Produce,QLD,Mount Isa,retail,full_time,,"📍 Mount Isa Pets & Produce
Join the team at Mount Isa Pets & Produce, the largest supplier of pet & produce needs in the North West
We’re looking for a reliable, physically fit male warehouse team member to join our hardworking crew.
⸻
🔹 About the Role:
This is a full-time warehouse position working in a busy environment.
Duties include:
✔️ Loading & unloading stock
✔️ Handling feed, produce & general warehouse goods
✔️ Assisting customers when required
✔️ Maintaining a clean & organised workspace
✔️ General day to day warehouse duties
⸻
🔹 What We’re Looking For:
✔️ Strong & physically fit
✔️ Driver’s Licence (essential)
✔️ Forklift Licence (or willingness to obtain)
✔️ Reliable, punctual & hardworking
✔️ Able to work both independently & as part of a team
⸻
🔹 Why Join Us?
✅ Local family owned & run business
✅ Be part of a great team environment
✅ Work with a wide range of pet supplies, feed & rural products
✅ Full-time position
⸻
📩 How to Apply:
Send your resume to: manager@mountisapetsandproduce.com.au
OR apply in store
📞 For more information, contact
Joyce or William on: 07) 4743 2265",
Experienced cook for weekend work,Employer (see description),QLD,QLD,hospitality,casual,,"Needing a cook for a busy burger bar in a brewery. We do smash burgers, pizzas and snacks, nothing fancy. Mainly Friday and Saturday night work with one weekday shift. We've got a pretty small kitchen and do a lot of prep, high volume so some experience on grill and fryers is preferred. 5-15 hours a week to start.
Text me on 0499566847 or email kitchen@stonycreekbrewing.com.au",
Casual Team Member,Employer (see description),QLD,QLD,other,full_time,,"We are looking for a casual team member (with a view to a permanent position) who is enthusiastic and willing to learn. This role includes dealing with stock - often large BBQs - so an ability to lift heavy objects is essential.
You can email your CV to us at sales@fnqbbq.com.au - however we prefer if you drop your CV in to us personally.
Immediate start.",
Housekeeper,Employer (see description),QLD,QLD,cleaning,casual,,"Hi All
Sanctuary Palm Cove
We are currently hiring a Housekeeper
Hours are 10am till 2pm
Preferably someone with previous housekeeper experience and lives in the Beaches.
Position will be on a casual basis and could be ongoing as we start to enter our busy season.
you can contact us via email info@sanctuarypalmcove.com.au or pop into our reception.",
Line Crew Labourers - QLD,a dynamic and hardworking,QLD,QLD,other,casual,$364.63 per day,"The Role
Join a dynamic and hardworking team supporting Line Crew Labourers across Queensland. This entry-level, labour-intensive role involves working outdoors in remote areas, contributing to essential fieldwork that requires accuracy, physical fitness, and a safety-first mindset. You'll be part of a team that values communication, teamwork, and adaptability in constantly changing field environments.
Key Responsibilities
This role supports the full lifecycle of nodal equipment deployment, collection and preparation to ensure projects run efficiently and safely.
Layout, pickup, and storage of nodal equipment
Placing nodes in the ground using a small mattock and initialising
Using GPS tablets to identify precise placement locations
Manual handling of nodes weighing 1-2kg (crates up to 10kg)
Collection of nodes from placement locations
Dismantling nodes for battery storage/charging and data module preparation
Traversing changing and difficult terrain on foot or in company 4WDs
Working up to 12-hour days (11 working hours + 1-hour lunch break)
Benefits
$364.63 per day
Variable duration depending on site and project needs
Up to a 12-hour work day with variable rosters from 6/1 through to 28/14
Work in a diverse range of outdoor and remote settings
Gain experience in resource-sector field operations
All equipment and training provided
Your Skills & Experience
Australian Manual Driver's Licence
Physically able to undertake labour-intensive work in hot and remote environments
Ability to lift 25kg repetitively
Flexible and adaptable to changing rosters and project needs
Strong awareness of safety procedures in challenging environments
Job Application Form
https://www.agrilabour.com.au/candidates/current-positions/line-crew-labourers-qld-bbbh28858/application-form/21781/",https://www.agrilabour.com.au/candidates/current-positions/line-crew-labourers-qld-bbbh28858/application-form/21781/
BAR & KITCHEN STAFF REQUIRED,BOROREN HOTEL,QLD,QLD,hospitality,part_time,,"BOROREN HOTEL ARE LOOKING FOR EXPERIENCED BAR STAFF ,AND MAY BE NEEDED IN THE KITCHEN SOMETIMES . YOU MUST HAVE EXPERIENCE IN PUBS, RSA RSG AND WOULD PERFER YOU TO HAVE RMLV AS WELL , ALSO A FOOD HANDLING COURSE.. GREAT BALANCED PACKAGES FOR THE RIGHT PERSON OR PEOPLE, ALSO COULD LOOK AT PART TIME POSITION AS WELL FOR THE RIGHT PERSON . MUST BE FEXIBLE
BOROREN IS ONLY 25 MINS FROM BENARARY AND TANNUM SANDS
APPLY BY E/MAIL ONLY PLEASE at bororenhotelmotel@gmail.com",
Strawberry Runner - Armidale NSW and Ballandean QLD,a busy horticultural production,QLD,Armidale,farm,casual,$31.19 per hour,"The Role
We're seeking Strawberry Runners to join a busy horticultural production team at a leading nursery in Ballandean, Queensland and Armidale NSW. This is a hands-on role in the agriculture and plant production industry, involving physical and detailed work in an indoor nursery environment. You'll be part of a friendly, hardworking crew focused on producing high-quality strawberry runners for dispatch across Australia.
Key Responsibilities
In this role, you'll play a key part in supporting efficient nursery operations and maintaining product quality. Your day-to-day duties will include:
Handling and processing plug plants within the production shed, including grading, trimming, cleaning, and packing.
Inspecting plants for quality, uniformity, and signs of damage or disease.
Preparing trays and packaging materials for daily dispatch.
Following hygiene, biosecurity, and safety protocols at all times.
Assisting with basic machinery such as conveyors or trimming tools.
Keeping work areas clean and organised.
Recording output data and reporting issues to supervisors.
Supporting general shed and nursery operations, including palletising and labelling.
Benefits
Pay Rate: $31.19 per hour
Duration: 3 weeks
Hours: 38 hours per week
Opportunities for overtime during peak production periods.
Gain valuable experience in the horticulture and nursery industry.
Be part of a welcoming, safety-first workplace culture.
Your Skills & Experience
Reliable, punctual, and able to work in a fast-paced environment.
Physically fit and comfortable performing repetitive tasks and standing for long periods.
Strong attention to detail and quality standards.
Positive team player who values communication and safe work practices.
Previous experience in nursery, horticultural, or food/produce packing environments. (Desirable)
Apply:
https://www.agrilabour.com.au/candidates/current-positions/strawberry-runner-armidale-nsw-and-ballandean-qld-bbbh28759/application-form/21777/",https://www.agrilabour.com.au/candidates/current-positions/strawberry-runner-armidale-nsw-and-ballandean-qld-bbbh28759/application-form/21777/
Staff Wanted - Work For Accomodation,Employer (see description),QLD,Mission Beach,farm,casual,,"Want to work on your tan and live in a rainforest with the Great Barrier Reef at your doorstep?
We've got just the thing for you.
The Jackaroo Treehouse Rainforest Retreat is located in the rainforests of Mission Beach and we are looking for friendly staff who would like to work a couple of hours a day housekeeping in exchange for accommodation.
We will provide you with:
Shared Dorm Room Accommodation
Laundry Facilities
Unlimited Wifi
A brand new modern fully equipped kitchen
Access to world heritage rainforest, exotic wildlife, secluded beaches and our own jungle garden kitted out with hammocks and a pool.
We are a family run business and our main clientele are international guests holidaying in Australia. Therefore, these positions are ideal for people with the same mindset who are here travelling around Australia and would like some time to just chill out, relax and stay a little while in a very special place.
If this sounds like you and you are available to start now, then we would love to hear from you.
Please note: This is a work for accommodation position and therefore does not count towards the 88 days.
Send us an email at ‪info@jackarootreehouse.com‬
Regards
Jackaroo Treehouse",
Dishwasher,Lake Barrine Teahouse,QLD,Cairns,other,casual,,"We’re hiring!
Looking for a motivated, proactive and energetic dishwasher to join our team at Lake Barrine Teahouse.
This role involves standing for long periods, lifting, and working in a fast-paced environment.
Work surrounded by rainforest, great people, and a fast-paced environment.
Details:
You’ll need your own car (we’re 1 hour from Cairns)
Yungaburra is just 9 minutes away
Accommodation may be available
Send your CV to:
info@lakebarrine.com.au",
🍻 WE’RE HIRING – PALMWOODS HOTEL 🍻,Palmwoods Hotel crew,QLD,QLD,hospitality,full_time,,"We’re on the lookout for new team members to join the Palmwoods Hotel crew! 💙
We have opportunities across:
✔ Management
✔ Food & Beverage
✔ Retail / Bottleshop
A mix of full-time and casual positions are available.
✨ What we’re looking for:
* Experience preferred
* RSA essential
* RSG highly regarded
If you’re passionate about hospitality, enjoy working in a fast-paced environment and want to be part of a great team — we’d love to hear from you 🙌
📧 Send your resume to:
krystle@palmwoodshotel.com.au",
Casual Labour - Great Money!,Money,QLD,QLD,cleaning,casual,,"Great pay, working in teams, specialty cleaning and restoration. No two days the same, great team. Generous allowances and penalty rates. Suit backpacker (male and female), and students, physical work. Lots of overtime and weekend work available. Make great money working with good people. Please apply through gumtree: https://www.gumtree.com.au/web/listing/other-jobs/1341256494",https://www.gumtree.com.au/web/listing/other-jobs/1341256494
CRUISIN MOTORHOMES HIRING NOW,Employer (see description),QLD,Cairns,other,casual,,"We are currently seeking a casual Maintanence and Allrounder to join our growing business. This rewarding position is based in our Cairns Branch QLD.
You will be an essential part of the Cruisin’ team, helping maintain the quality of our luxury vehicles.
Experience in general maintenance duties is highly regarded. If you’re looking for long-term employment, we can provide you with the appropriate training. We want team players who are motivated and operate at a consistently high standard.
Duties include - but are not limited to – General Maintanence of our Motorhomes and Campervans in an efficient and professional manner. You will work with a friendly and close-knit team with rotating Saturday morning shifts – providing you with an excellent work/life balance.
At Cruisin’, we pride ourselves on the cleanliness of our fleet and well maintained motorhomes– we offer above an award-level wage to support that.
The ideal applicant should ideally have the following skills and experiences:
Flexible approach to work
Positive attitude
Attention to detail
Punctual & reliable
Self-motivated
Works well in a team and independently.
If the above sounds like you, please submit your resume to Kyle.w@cruisinmotorhomes.com.au",
